2012-01-01	A sobarla #twitteroff. Mañana a madrugar para estudiar en la #ual buenas noches :)
2012-01-01	Todo esto no quita que mañana #UAL
2012-01-02	Waiting to board #UAL flights to #Chicago then #Detroit, rent car + drive cross border to #God'sCountry! U17 World Challenge in Windsor
2012-01-02	agora só vou beber nos shows q vai ter e no carnavall #ual
2012-01-02	Hmm, vou voltar pro Twitter. Missão de férias. #ual
2012-01-02	http://mobile.mtv.es/noticias/noticias/mario-vaquerizo-y-alaska-se-separan/… @adrisuki #Ual.la!!
2012-01-02	"Inmortales" una peli un poco extraña no la recomiendo. Esta mucho mejor 300. Buenas noches #twitteroff mñana #ual mas y mas studing
2012-01-02	meu ja to nos 31.000 e nem vi uahisuihuaisa :O:O #uaL ! *-* s2
2012-01-02	hj eu vou dar um rolezinhoo hj a noitee #ual
2012-01-02	comenzando un dia intensivo de estudio, me gusta copiarme de @Tati_mt jajajajaj espero que mñn haya dia intensivo los dos juntos en la #UAL
2012-01-02	@EriiiCkStrondaa #uaL jsiaiosjaiosa Saudades de você sabia ? *-*
2012-01-02	Cada vez que escucho http://youtube.com/watch?v=HHLrxGiNUDg&feature=related… me acuerdo de @MarioLpezAlonso , en el corsilla, yendo a la #UAL en Septiembre!
2012-01-03	Con miki en la #ual, estudiando cosas feas y comiendo las galletas mas ricas del mundo :)
2012-01-03	oxiiiiiii o @weeelOliveira_ me mando sms '=' 20h20 FDP ' :O:O #ual :z
2012-01-03	@DiaColirio #Ual. eu quero para mim . ;9 gamei horrores.
2012-01-03	#UAL has recalculated lifetime flight miles. I like the extra 200K miles. But, they won't reveal details of the calc. Seriously?
2012-01-03	Una buena mañana estudiando en la #UAL y de bastante provecho la verdad....ya queda poco para el examen u.u
2012-01-03	#UAL ticket man just told me to stay away from girls and that they're a waste of time #lax #ual950
2012-01-03	depoiis vou na loterica pegar o meu dinheirooo eu ganheii na lotofacill #ual
2012-01-03	Minha twitpic é essa aqui: http://bit.ly/uKvBov *-* Comentem lá bebês s2
2012-01-03	@Marcelo_Fusion #uaL ! ><
2012-01-03	@lacerda_thug #Ual :O
2012-01-03	¿Ya se me va a caducar la pass de la #UAL? ... No sé cuál poner ahora @.@
2012-01-03	#Ual
2012-01-03	baños cerrados con llave, y cola de 15 personas que se mean encima. esto´ e´ increible´!! vaya mierda de #ual
2012-01-03	En la #ual estudiando. Como de costumbre.
2012-01-03	Red Hot na Joven Pam #ual
2012-01-03	@Higoor_Wooks kkk #uaL :p
2012-01-03	ela gostaa de sangueee #ual
2012-01-03	@Sou1ExFreira KKKKKKKKKKKKKKKKKKKK :O #ual !
2012-01-03	dakii a pokoo vou lavar a louça #ual
2012-01-04	Faltam 16 dias pra mim fazer 16 anos #Ual
2012-01-04	#ual
2012-01-04	2DAY's #SHORT Ideas: #avgo #bsft #an #plcm #ebay #ma #ftnt #pot #ntap #ual #lcc #altr #goog [Best Seen on Wkly Charts]
